Date ,Open,High,Low ,Close,Volume
1-Sep-21,345,345,337.83,340.39,"70,400"
2-Sep-21,340,340.5,318,323.61,"243,100"
3-Sep-21,321,328.8,315.01,323.18,"71,400"
6-Sep-21,320.5,324.89,318.11,321.75,"39,700"
7-Sep-21,320.03,323.5,304,307.45,"152,200"
8-Sep-21,306,307,284.4,289.53,"1,416,100"
9-Sep-21,300,300,290,291.52,"249,000"
10-Sep-21,293.98,296,289,293.6,"189,900"
13-Sep-21,295.4,299.7,294.05,295.41,"86,400"
14-Sep-21,295.41,298,287.1,293.6,"93,300"
15-Sep-21,294.99,296,286.8,288.74,"79,500"
16-Sep-21,287.02,290,285,285.58,"71,000"
17-Sep-21,285.1,287.5,280.01,284,"60,500"
20-Sep-21,283.5,294,277,288.8,"61,500"
21-Sep-21,289.86,303.33,267.14,277.98,"666,900"
22-Sep-21,278,279.9,263,273.82,"108,000"
23-Sep-21,275,275,265,266.97,"96,900"
24-Sep-21,263,266.99,250,260.97,"458,200"
