Date,Open,High,Low,Close,Volume
2-Jan-17,677,698,677,681.42,"138,650"
3-Jan-17,683,697.25,675,681.22,"211,450"
4-Jan-17,681.53,696.67,681.53,688.57,"206,200"
5-Jan-17,688,712,688,707.58,"570,650"
6-Jan-17,709,714,695.01,697.03,"292,700"
9-Jan-17,698,699,690,695.97,"118,250"
10-Jan-17,695,701.9,692,693.02,"170,900"
11-Jan-17,688.9,714.89,688.9,705.68,"414,100"
12-Jan-17,710,713,696.05,699.7,"161,250"
13-Jan-17,699.99,710,695.25,697.41,"117,250"
16-Jan-17,705.9,720,697.41,709.12,"389,500"
17-Jan-17,718,718,704,714.13,"177,950"
18-Jan-17,716.9,749.83,715,749.83,"416,200"
19-Jan-17,755,784.9,754,772.74,"491,700"
20-Jan-17,777,795,775.01,777.9,"325,250"
23-Jan-17,790,816.79,790,814.03,"438,650"
24-Jan-17,825,828,780,785.6,"343,750"
25-Jan-17,789,793,765.67,769.5,"285,050"
26-Jan-17,767,800,766.05,780.43,"294,650"
27-Jan-17,777.9,785,770,771.71,"152,050"
30-Jan-17,777.8,777.8,740.5,750.05,"159,650"
31-Jan-17,740,755,721,729.54,"207,250"
2-Jan-17,677,698,677,681.42,"138,650"
3-Jan-17,683,697.25,675,681.22,"211,450"
4-Jan-17,681.53,696.67,681.53,688.57,"206,200"
5-Jan-17,688,712,688,707.58,"570,650"
6-Jan-17,709,714,695.01,697.03,"292,700"
9-Jan-17,698,699,690,695.97,"118,250"
10-Jan-17,695,701.9,692,693.02,"170,900"
11-Jan-17,688.9,714.89,688.9,705.68,"414,100"
12-Jan-17,710,713,696.05,699.7,"161,250"
13-Jan-17,699.99,710,695.25,697.41,"117,250"
16-Jan-17,705.9,720,697.41,709.12,"389,500"
17-Jan-17,718,718,704,714.13,"177,950"
18-Jan-17,716.9,749.83,715,749.83,"416,200"
19-Jan-17,755,784.9,754,772.74,"491,700"
20-Jan-17,777,795,775.01,777.9,"325,250"
23-Jan-17,790,816.79,790,814.03,"438,650"
24-Jan-17,825,828,780,785.6,"343,750"
25-Jan-17,789,793,765.67,769.5,"285,050"
26-Jan-17,767,800,766.05,780.43,"294,650"
27-Jan-17,777.9,785,770,771.71,"152,050"
30-Jan-17,777.8,777.8,740.5,750.05,"159,650"
31-Jan-17,740,755,721,729.54,"207,250"
1-Feb-17,735,765.65,735,754.65,"164,150"
2-Feb-17,764,778,750,757.09,"271,800"
3-Feb-17,755,770.5,753,766.39,"143,300"
6-Feb-17,767,804.7,767,801.76,"494,100"
