Date,Open,High,Low ,Close,Volume
9/1/2021,155.74,158,152,152.99,"819,045"
9/2/2021,153.99,154.24,149,151.45,"464,742"
9/3/2021,152.9,154,150.55,152.57,"459,830"
9/6/2021,154.13,156.5,153.45,155.89,"303,737"
9/7/2021,155.99,160,155.89,157.59,"689,343"
9/8/2021,159.48,161,152.01,154.63,"1,534,496"
9/9/2021,134.9,140,133.16,136.46,"792,922"
9/10/2021,138,146.69,137.88,146.69,"2,377,598"
9/13/2021,148,154.24,142,143.02,"3,048,913"
9/14/2021,146,146,140.1,142.52,"2,833,664"
9/15/2021,142.5,143.7,139.76,140.91,"1,939,467"
9/16/2021,140.99,141.5,139.1,139.95,"1,323,503"
9/17/2021,140,140.5,134.5,136.13,"1,576,174"
9/20/2021,135.55,137.99,134,134.8,"300,759"
9/21/2021,135.6,141,125,131.03,"2,476,828"
9/22/2021,132,136.44,128,133.71,"620,445"
9/23/2021,136.5,138,131.1,134.32,"349,113"
9/24/2021,134.1,135.76,131.51,133.15,"317,815"
9/27/2021,134,136,126.7,130.19,"4,129,204"
9/28/2021,131.06,135,130,133.89,"1,006,958"
,,,,,
,,,,,
