Date,Open,High,Low,Close,Volume
1/2/2017,68.99,69,67.25,67.98,61500
1/3/2017,67,67.9,67,67.24,11500
1/4/2017,66.01,69.5,66,69,185000
1/5/2017,69,69,65.55,65.89,375500
1/6/2017,66.5,68.75,65,66.66,319500
1/9/2017,66.7,67.9,65.81,65.92,213000
1/10/2017,65.9,67,65.5,66.99,89000
1/11/2017,67,68,66.3,67.85,8500
1/12/2017,68,68,65,66.09,296500
1/13/2017,65.26,66.89,65.26,65.99,47000
1/16/2017,65.95,66,65,65.75,1128000
1/17/2017,65.5,65.51,62.5,64.37,115000
1/18/2017,64.8,65,64,64.02,266000
1/19/2017,64,64,63.2,64,473500
1/20/2017,65.73,65.73,64.25,64.5,473000
1/23/2017,64.5,66.25,64.02,66,146000
1/24/2017,66,66.5,64.67,64.74,27000
1/25/2017,65,66,64.35,66,1096000
1/26/2017,66,67.3,66,67.16,158000
1/27/2017,68,68.25,66.5,66.98,56500
1/30/2017,67,67,64.5,65.8,119000
1/31/2017,66,66,65,65.92,8000
2/1/2017,66.49,66.49,66,66.18,13000
2/2/2017,67.5,68.5,67.49,68.1,175000
2/3/2017,68.94,68.94,68.17,68.17,24000
2/6/2017,68.2,69,68.2,69,24000
2/7/2017,69.94,70.15,68.84,69.77,817000
2/8/2017,70.25,72,69.25,70.1,587000
2/9/2017,70.01,70.4,69.5,69.8,121500
2/10/2017,70,70,69.85,70,135000
2/13/2017,70.5,70.5,70.01,70.23,71000
2/14/2017,70,70,68.01,69,170000
2/15/2017,69,69.99,69,69.53,41500
2/16/2017,69.25,69.3,67.5,67.84,84000
2/17/2017,67,67,64.45,66.9,147500
2/20/2017,68,68,64.25,65,153000
2/21/2017,64.5,66.2,64.5,66,164000
2/22/2017,66,66.5,66,66.27,35500
2/23/2017,66.01,67,66,66.71,18500
2/24/2017,66.01,66.01,65,65.24,48000
2/27/2017,65,65,64.55,65,6000
2/28/2017,63.01,64.5,63,63.9,58500
3/1/2017,64.9,66,64.9,65.58,8500
3/2/2017,63.06,66,63,65.5,79500
3/3/2017,66.4,66.4,65,66.25,3500
3/6/2017,69,69,65.5,65.5,18500
3/7/2017,66.5,68,66.5,67.8,84000
3/8/2017,67.5,67.5,67.5,67.5,20000
3/9/2017,66.11,67.6,64.5,65.2,255000
3/10/2017,65,65.5,65,65,120500
3/13/2017,65,65.25,65,65.25,4500
3/14/2017,65.25,65.25,65.25,65.25,2000
3/15/2017,65.98,67.25,64.55,66,32500
3/16/2017,66.8,67,66,67,59500
3/17/2017,67,67.9,67,67.9,2000
3/20/2017,67.9,68,67.9,68,15500
3/21/2017,68,69,67.99,69,20000
3/22/2017,69,70,69,70,65000
3/24/2017,70,70,70,70,3000
3/27/2017,70,70,69.89,70,160000
3/28/2017,68.55,71,68.55,70.95,302500
3/29/2017,71.5,71.5,70.1,71,271000
3/30/2017,70.2,71.5,70.2,71.5,141500
3/31/2017,70.05,71.6,70.05,71.5,29500
4/3/2017,71,72,71,71.5,103500
4/4/2017,72.85,75.07,72.85,74.98,147000
4/5/2017,74.98,74.98,73.1,73.1,84000
4/6/2017,72.9,73,72.9,72.97,11000
4/7/2017,71.1,76.61,71.1,74.98,34000
4/10/2017,73.25,75,73.1,74,134500
4/11/2017,74.5,75.25,74.45,75.16,152500
4/12/2017,74.03,76.5,74.03,75.94,11000
4/13/2017,75.95,76.3,75.31,76.08,257000
4/14/2017,74.09,75.5,73.05,74,156500
4/17/2017,73.5,73.55,73,73,52500
4/18/2017,72.11,72.11,72.05,72.05,352500
4/19/2017,71,72,71,72,9000
4/20/2017,74,75.6,74,75.6,130000
4/21/2017,77,79.38,77,79.38,769500
4/24/2017,79.38,79.5,78.01,79.01,403500
4/25/2017,77.02,80,77.02,79.1,104000
4/26/2017,80,83.05,80,83.05,828000
